permission,owner,admin,developer,billing
org.manage,Y,N,N,N
org.delete,Y,N,N,N
members.invite,Y,Y,N,N
members.role_change,Y,Y,N,N
billing.view,Y,Y,N,Y
billing.manage_payment,Y,N,N,Y
subscription.change,Y,N,N,Y
project.create,Y,Y,Y,N
project.delete,Y,Y,N,N
env.manage,Y,Y,Y,N
service.create,Y,Y,Y,N
service.scale,Y,Y,Y,N
service.delete,Y,Y,N,N
binding.manage,Y,Y,Y,N
secret.manage,Y,Y,Y,N
domain.manage,Y,Y,Y,N
deploy.promote,Y,Y,Y,N
deploy.rollback,Y,Y,Y,N
observe.read,Y,Y,Y,N
alert_rule.manage,Y,Y,Y,N
dashboard.create,Y,Y,Y,Y
dashboard.share_org,Y,Y,Y,N
template.manage,Y,Y,N,N
template.consume,Y,Y,Y,N
policy.manage,Y,Y,N,N
ai.policy_manage,Y,Y,N,N
ai.use,Y,Y,Y,Y
ai.apply_proposal,per underlying action,per underlying action,per underlying action,N
cells.manage,Y,Y,N,N
audit.read,Y,Y,N,N
api_keys.manage,Y,Y,N,N
tokens.own,Y,Y,Y,Y
